condition,factor,factor_role,layer,is_last_layer,control,n_repeats,std_ddof,mse_mean,mse_std,mse_n_valid,mse_replicates,r_squared_mean,r_squared_std,r_squared_n_valid,r_squared_replicates
token_guess,factor_1,guessed,layer_3,True,dirichlet_labels,5,1,0.05553670716480381,0.0003122533019323675,5,"[0.05515884066598052,0.055702525511448824,0.055571257649904275,0.05594387650359002,0.05530703549309541]",-0.002323435207619262,0.000728702726986578,5,"[-0.0022844357643265756,-0.0025733538210288565,-0.003256781991649138,-0.002268139671718794,-0.0012344647893729466]"
token_guess,factor_1,guessed,layer_3,True,gaussian_covariance_matched,5,1,0.060157150144995085,5.941539948854908e-05,5,"[0.06019375598537264,0.0602268168177074,0.06008951015554403,0.060101737333238786,0.060173930433112574]",-0.005478263989754195,0.0009930804997911654,5,"[-0.006090101098825906,-0.006642686256565167,-0.004347716099676102,-0.004552083516889072,-0.005758732976814729]"
token_guess,factor_1,guessed,layer_3,True,ntp_bin_matched_activations,5,1,0.009154208010088672,3.3143096613396534e-05,5,"[0.009182722390322768,0.009114269316018813,0.009122930644944334,0.00916864148071017,0.009182476218447276]",0.8469947935365945,0.0005539601388324057,5,"[0.8465181986602178,0.8476623366080762,0.847517569478136,0.8467535497118974,0.8465223132246448]"
token_guess,factor_1,guessed,layer_3,True,shuffled_training_labels,5,1,0.0601596542557269,0.00043419086827899904,5,"[0.06062979576930063,0.05956099472674501,0.05987189835599797,0.060316726930667135,0.06041885549592374]",-0.005520118181739519,0.007257150304246777,5,"[-0.013378154537488696,0.004485993186082782,-0.0007105103160929271,-0.008145461306180657,-0.0098524579350181]"
token_guess,factor_1,guessed,layer_3,True,visible_suffix_matched_activations,5,1,0.03724754331577287,4.454070365891706e-05,5,"[0.0372319081181804,0.03732345003114839,0.03723946011318057,0.0372056052318728,0.03723729308448218]",0.3774373436780507,0.000744461951470546,5,"[0.3776986734001955,0.37616862412905305,0.3775724478924357,0.37813830493857026,0.37760866802999904]"
token_guess,factor_2,guessed,layer_1,False,dirichlet_labels,5,1,0.05549016249567407,0.0002839354478733074,5,"[0.05512577190889516,0.05566362429553461,0.0555075926217205,0.05584547574451303,0.055308347907707014]",-0.0014855177263217278,0.0006302513413248414,5,"[-0.001683547490814119,-0.0018731822911255414,-0.0021074041657334064,-0.0005052309870472449,-0.0012582236968883276]"
token_guess,factor_2,guessed,layer_1,False,gaussian_covariance_matched,5,1,0.06001722699948094,1.3150602413369764e-05,5,"[0.06002662861807278,0.06001248875485161,0.06002218719632133,0.06002838396279111,0.05999644646536787]",-0.001309292239460369,0.00021940067966098647,5,"[-0.0014661460050997555,-0.0012302407968420859,-0.001392046665746438,-0.0014954316463300366,-0.000962596083283529]"
token_guess,factor_2,guessed,layer_1,False,ntp_bin_matched_activations,5,1,0.009789549258911897,6.237999035256904e-05,5,"[0.00981766901955531,0.009755863790315827,0.009810702657972214,0.009862596822003415,0.009700914004712721]",0.836674116252169,0.001040728922553789,5,"[0.8362049746567394,0.8372361144384394,0.8363211993298039,0.8354554127672577,0.8381528800686048]"
token_guess,factor_2,guessed,layer_1,False,shuffled_training_labels,5,1,0.06059631430636121,0.0003812933343371267,5,"[0.06001441924108356,0.060468624250022536,0.061021288797770114,0.06079118808157008,0.06068605116135976]",-0.010970610004144055,0.0063613828533603195,5,"[-0.0012624484461993823,-0.008840267661943013,-0.018060756091969,-0.014221825224935758,-0.01246775259567312]"
token_guess,factor_2,guessed,layer_1,False,visible_suffix_matched_activations,5,1,0.037034044140355,2.00978382246437e-05,5,"[0.03705544058258201,0.037004867972094464,0.03702454258656167,0.037048474211594566,0.0370368953489423]",0.3821351904968133,0.00033530626412372994,5,"[0.3817782187156453,0.38262195687793044,0.38229371155117764,0.3818944435456092,0.38208762179370415]"
token_guess,factor_2,guessed,layer_2,False,dirichlet_labels,5,1,0.05551983465086533,0.0003102934688991023,5,"[0.055134201371228264,0.05570679883521958,0.055546238159703124,0.05591086468362543,0.05530107020455024]",-0.0020190531031251346,0.0007006122282906645,5,"[-0.0018367182028218298,-0.002650268117202703,-0.0028050921381568283,-0.0016767130947463738,-0.001126473962697938]"
token_guess,factor_2,guessed,layer_2,False,gaussian_covariance_matched,5,1,0.060059649517818094,4.385192037150877e-05,5,"[0.060106564000213664,0.06005562717637907,0.060027831970057635,0.060101022434070034,0.060007202008370064]",-0.0020170567253396943,0.0007316121977930701,5,"[-0.0027997637831598254,-0.0019499491953718362,-0.0014862223662466256,-0.0027073099669709944,-0.0011420383149491897]"
token_guess,factor_2,guessed,layer_2,False,ntp_bin_matched_activations,5,1,0.009236142797298591,5.091414086487347e-05,5,"[0.009239312092894495,0.00917043365820757,0.009279812594926289,0.009290053504740874,0.00920110213572373]",0.8459069825491,0.0008494361519706479,5,"[0.8458541069783899,0.8470032539839243,0.8451784088321702,0.845007552585206,0.8464915903658096]"
